State_x,District_x,Subdistt,Town/Village,Ward,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,Pincode,Pincode_Method,Pincode_Status,LG_ST_Code,State_y,LG_DT_Code,District_y,Agriculture,Dairy & Animal Husbandry,Fishery,Mining & Quarrying,Manufacturer,Food Processing,Textile & Garments,Tailor,Construction,Wholesaler,Retailer,Wholesale & Retail,Repair & Maintenance,Automobile & Vehicle Services,Transport & Logistics,Hotel & Accommodation,Restaurant & Food Service,Beauty & Personal Care,Healthcare & Pharmacy,Education & Training,IT & Telecommunication,Finance & Professional Services,Real Estate & Rental,Personal & Other Services,Other
9,157,0,0,0,DISTRICT,Lucknow,Total,860703,4589838,2394476,2195362,3127260,1742440,1384820,1462578,652036,810542,1542806,226001,,district_gpo_fallback,9,UTTAR PRADESH,162,LUCKNOW,116.0,191.0,0.0,87.0,2525.0,312.0,856.0,96.0,973.0,1141.0,1619.0,0.0,1183.0,183.0,674.0,202.0,631.0,323.0,216.0,379.0,629.0,1409.0,616.0,218.0,3871.0
9,157,0,0,0,DISTRICT,Lucknow,Rural,283193,1550842,813752,737090,900857,533656,367201,649985,280096,369889,522160,226000,,district_gpo_fallback,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,6.0,1.0,7.0,0.0,6.0,0.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,12.0
9,157,0,0,0,DISTRICT,Lucknow,Urban,577510,3038996,1580724,1458272,2226403,1208784,1017619,812593,371940,440653,1020646,226002,,district_gpo_fallback,9,UTTAR PRADESH,162,LUCKNOW,128.0,263.0,0.0,119.0,2621.0,413.0,766.0,109.0,1626.0,992.0,2102.0,0.0,1397.0,84.0,1036.0,189.0,666.0,365.0,266.0,454.0,467.0,838.0,831.0,125.0,3838.0
9,157,819,0,0,SUB-DISTRICT,Malihabad,Total,65863,368453,193230,175223,205770,123436,82334,162683,69794,92889,122715,226102,,subdistrict_hq_postal_code,9,UTTAR PRADESH,162,LUCKNOW,45.0,53.0,0.0,21.0,315.0,55.0,103.0,4.0,69.0,146.0,315.0,0.0,117.0,12.0,104.0,12.0,37.0,18.0,20.0,28.0,38.0,21.0,26.0,10.0,213.0
9,157,819,0,0,SUB-DISTRICT,Malihabad,Rural,62831,350635,183896,166739,194916,117399,77517,155719,66497,89222,116829,226101,,subdistrict_hq_postal_code,9,UTTAR PRADESH,162,LUCKNOW,49.0,103.0,0.0,31.0,847.0,132.0,213.0,24.0,255.0,279.0,571.0,0.0,313.0,20.0,296.0,35.0,123.0,69.0,80.0,91.0,102.0,114.0,135.0,54.0,769.0
9,157,819,0,0,SUB-DISTRICT,Malihabad,Urban,3032,17818,9334,8484,10854,6037,4817,6964,3297,3667,5886,226103,,subdistrict_hq_postal_code,9,UTTAR PRADESH,162,LUCKNOW,10.0,12.0,0.0,1.0,76.0,12.0,24.0,1.0,17.0,17.0,62.0,0.0,28.0,2.0,24.0,0.0,7.0,6.0,4.0,3.0,11.0,3.0,9.0,2.0,48.0
9,157,819,142980,0,VILLAGE,Vahir,Rural,247,1244,637,607,549,312,237,695,325,370,508,227115,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,30.0,56.0,0.0,9.0,229.0,38.0,65.0,5.0,35.0,43.0,128.0,0.0,119.0,9.0,241.0,9.0,42.0,11.0,13.0,13.0,21.0,15.0,19.0,11.0,185.0
9,157,819,142981,0,VILLAGE,Ahindar,Rural,738,3876,2116,1760,1914,1247,667,1962,869,1093,1132,227116,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,3.0,16.0,0.0,3.0,76.0,15.0,20.0,0.0,9.0,19.0,54.0,0.0,34.0,1.0,81.0,0.0,10.0,5.0,6.0,2.0,12.0,11.0,7.0,2.0,61.0
9,157,819,142982,0,VILLAGE,Umraval,Rural,574,3380,1784,1596,1802,1122,680,1578,662,916,1072,227112,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,157,819,142983,0,VILLAGE,Rahata,Rural,355,1886,1008,878,1079,705,374,807,303,504,695,227111,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,23.0,25.0,0.0,9.0,119.0,18.0,41.0,5.0,28.0,55.0,71.0,0.0,109.0,5.0,155.0,5.0,21.0,8.0,11.0,11.0,14.0,11.0,29.0,4.0,139.0
9,157,819,142984,0,VILLAGE,Siswara,Rural,373,2011,1017,994,1023,590,433,988,427,561,796,227110,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
